stop_id,agency,name,lat,lon,coord_source,stop_type,interchange_group_id,route_codes,sources,scraped_at
municipal_bus-1398,municipal_bus,Swaminarayan Mandir (Shahibag),23.044973,72.589651,municipal_bus_api,MUNICIPAL_BUS,ix-0499,"[""22-TL-U"",""22-U"",""22sh-BL-D"",""38/1-D"",""50-D"",""50-MI-D"",""50-MIs-D"",""50-NG-D"",""50-NI-D"",""64/2-D"",""84-D"",""70-D"",""70-NV-D"",""89/2-U"",""85sh-D"",""89/1-D"",""89/1sh-D"",""88-NK-U"",""88-U"",""89/1-CK-D"",""89/2-TK-U"",""89/3-D"",""89/3-TK-D"",""105-D"",""89/3sh-D""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-2803,municipal_bus,Swaminarayan Mandir (Sitarambapa Chowk),23.051253,72.65796,municipal_bus_api,MUNICIPAL_BUS,,"[""56/1-BS-U"",""56/1-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-4329,municipal_bus,Swaminarayan Mandir (Viratnagar),23.02919,72.643897,municipal_bus_api,MUNICIPAL_BUS,,"[""136-SN-D"",""33-LS-U"",""33-U"",""69-D"",""69-KSP(O)-D"",""69sh-D"",""69sh-KSP(O)-D"",""89/1-D"",""124-U"",""136-SMp-D"",""136-D"",""136-GM-D"",""136-SM-D"",""136sh-D"",""137M-D"",""137M-KM-D""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-1892,municipal_bus,Swaminarayan Paper Mills,22.873511,72.527706,municipal_bus_api,MUNICIPAL_BUS,,"[""117/1-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-2041,municipal_bus,Swaminarayan Park,22.992873,72.54185,municipal_bus_api,MUNICIPAL_BUS,,"[""33/1-VL-U"",""38/1-U"",""38/1-VV-U"",""33/1sh-U"",""33/1sh-VL-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-2549,municipal_bus,Swaminarayan Society,23.03167,72.760526,municipal_bus_api,MUNICIPAL_BUS,,"[""143-D""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-6279,municipal_bus,Swaminarayan University,23.224933,72.508127,municipal_bus_api,MUNICIPAL_BUS,,"[""503-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-2481,municipal_bus,Swaminarayannagar,23.040436,72.654026,municipal_bus_api,MUNICIPAL_BUS,,"[""39/3-U"",""135-D"",""Feeder/5-D""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-8617,municipal_bus,Swaminarayn School,23.082501,72.566166,municipal_bus_api,MUNICIPAL_BUS,,"[""64/3-U"",""74-RL-U"",""74-U"",""88-NK-U"",""88-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
municipal_bus-9101,municipal_bus,Swapnil Heights,23.069314,72.686812,municipal_bus_api,MUNICIPAL_BUS,,"[""56/1-BS-U"",""56/1-U"",""124-D"",""148-U""]","[""municipal_bus_api""]",2026-06-29T18:14:59+00:00
