agency,from_stop_id,to_stop_id,median_minutes,sample_count
brt,brt-111,brt-113,1.9,6
brt,brt-113,brt-115,2.3,6
brt,brt-115,brt-117,1.6,6
brt,brt-117,brt-119,2.0,6
brt,brt-119,brt-121,1.8,6
brt,brt-121,brt-271,3.4,5
brt,brt-271,brt-273,2.9,6
brt,brt-273,brt-390,1.2,3
brt,brt-390,brt-358,2.8,3
brt,brt-358,brt-360,3.6,3
brt,brt-360,brt-362,1.5,3
brt,brt-362,brt-392,2.9,3
brt,brt-392,brt-364,1.6,3
brt,brt-364,brt-394,2.1,3
brt,brt-394,brt-366,2.3,3
brt,brt-121,brt-119,1.8,5
brt,brt-119,brt-117,2.0,5
brt,brt-117,brt-115,1.6,5
brt,brt-115,brt-113,2.3,5
brt,brt-113,brt-111,1.9,5
brt,brt-111,brt-109,1.8,5
brt,brt-109,brt-107,1.8,5
brt,brt-107,brt-105,2.0,5
brt,brt-105,brt-103,2.6,5
brt,brt-103,brt-101,1.5,5
brt,brt-101,brt-100,1.6,3
brt,brt-100,brt-97,2.2,6
brt,brt-97,brt-95,1.7,5
brt,brt-95,brt-93,1.7,7
brt,brt-93,brt-91,1.9,8
brt,brt-91,brt-89,2.1,8
brt,brt-89,brt-87,2.2,8
brt,brt-87,brt-85,2.0,7
brt,brt-85,brt-83,4.7,7
brt,brt-83,brt-81,2.8,8
brt,brt-81,brt-79,2.6,7
brt,brt-79,brt-77,2.1,7
brt,brt-31,brt-229,0.9,6
brt,brt-229,brt-231,1.4,6
brt,brt-231,brt-233,1.8,6
brt,brt-233,brt-235,2.2,6
brt,brt-235,brt-299,2.8,6
brt,brt-299,brt-289,2.8,6
brt,brt-289,brt-287,3.6,6
brt,brt-287,brt-187,3.4,6
brt,brt-187,brt-189,1.2,6
brt,brt-189,brt-191,1.6,6
brt,brt-191,brt-193,1.2,6
brt,brt-193,brt-195,1.6,4
brt,brt-195,brt-197,1.6,4
brt,brt-227,brt-159,1.7,3
brt,brt-159,brt-103,1.9,4
brt,brt-103,brt-145,2.0,4
brt,brt-145,brt-147,2.5,5
brt,brt-147,brt-149,1.6,5
brt,brt-149,brt-151,1.6,5
brt,brt-151,brt-153,1.5,5
brt,brt-153,brt-155,1.3,5
brt,brt-155,brt-157,2.2,4
brt,brt-197,brt-199,1.4,3
brt,brt-199,brt-201,1.3,3
brt,brt-201,brt-293,4.4,1
brt,brt-293,brt-295,2.2,1
brt,brt-295,brt-297,1.7,1
brt,brt-27,brt-25,2.2,14
brt,brt-13,brt-11,2.2,12
brt,brt-11,brt-10,1.6,12
brt,brt-10,brt-7,2.8,15
brt,brt-7,brt-5,1.8,15
brt,brt-5,brt-3,2.5,14
brt,brt-3,brt-1,2.1,7
brt,brt-3,brt-186,2.2,8
brt,brt-186,brt-173,4.0,6
brt,brt-173,brt-175,2.1,6
brt,brt-175,brt-177,1.5,6
brt,brt-177,brt-179,1.9,6
brt,brt-179,brt-181,2.4,6
brt,brt-181,brt-183,2.2,6
brt,brt-183,brt-219,2.4,5
brt,brt-219,brt-221,2.0,6
brt,brt-221,brt-223,1.7,6
brt,brt-223,brt-225,1.9,6
brt,brt-67,brt-45,2.1,3
brt,brt-45,brt-67,2.1,3
brt,brt-225,brt-223,1.9,5
brt,brt-223,brt-221,1.7,5
brt,brt-39,brt-43,6.0,2
brt,brt-225,brt-251,2.5,4
brt,brt-251,brt-253,2.5,5
brt,brt-253,brt-396,2.8,2
brt,brt-396,brt-410,7.7,2
brt,brt-410,brt-398,2.6,2
brt,brt-398,brt-400,4.6,2
brt,brt-400,brt-418,3.7,1
brt,brt-418,brt-408,4.3,2
brt,brt-400,brt-402,1.3,1
brt,brt-402,brt-418,2.9,1
brt,brt-253,brt-251,2.5,4
brt,brt-251,brt-225,2.5,4
brt,brt-3,brt-7,3.8,1
brt,brt-419,brt-403,2.9,1
brt,brt-403,brt-401,1.3,1
brt,brt-401,brt-410,6.3,1
brt,brt-410,brt-396,7.7,1
brt,brt-396,brt-253,2.8,1
brt,brt-366,brt-394,2.3,3
brt,brt-394,brt-364,2.1,3
brt,brt-364,brt-392,1.6,3
brt,brt-392,brt-362,2.9,3
brt,brt-362,brt-360,1.5,3
brt,brt-360,brt-358,3.6,3
brt,brt-358,brt-390,2.8,3
brt,brt-390,brt-273,1.2,3
brt,brt-273,brt-271,2.9,5
brt,brt-271,brt-121,3.4,4
brt,brt-77,brt-75,1.9,6
brt,brt-75,brt-73,2.1,6
brt,brt-73,brt-71,2.1,6
