route_name,longName,agencyName,transitType,firstStop,lastStop,totalStops,totalDurationMinutes,operatingDays
11S,,AMTS BRTS 11S Bus,,Chhipa Society BRTS,LD Engg,15,18,everyday
12D,,AMTS BRTS 12D Bus,,Rameshwar Park BRTS,RTO Circle,39,68,everyday
12D,,AMTS BRTS 12D Bus,,CTM Cross Road BRTS,RTO Circle,34,57,everyday
12D,,AMTS BRTS 12D Bus,,CTM Cross Road BRTS,Chandkheda Gam BRTS,44,64,everyday
12U,,AMTS BRTS 12U Bus,,RTO Circle,Rameshwar Park BRTS,40,59,everyday
14U,,AMTS BRTS 14U Bus,,Sanand Circle,Naroda Terminus,32,53,everyday
14S,,AMTS BRTS 14S Bus,,Geeta Gauri Cinema BRTS,Naroda Terminus,13,20,everyday
14E,,AMTS BRTS 14E Bus,,Naroda Terminus,Geeta Gauri Cinema BRTS,13,18,everyday
12U,,AMTS BRTS 12U Bus,,RTO Circle,CTM Cross Road BRTS,35,59,everyday
14D,,AMTS BRTS 14D Bus,,Naroda Terminus,Sanand Circle,34,56,everyday
15D,,AMTS BRTS 15D Bus,,Iskcon Cross Road BRTS,Ahmedabad Domestic Airport,19,32,everyday
15D,,AMTS BRTS 15D Bus,,Iskcon Cross Road BRTS,RTO Circle,18,28,everyday
15E,,AMTS BRTS 15E Bus,,RTO Circle,Shastrinagar BRTS,6,8,everyday
15E,,AMTS BRTS 15E Bus,,Iskcon Cross Road BRTS,Jaimangal BRTS,12,17,everyday
15S,,AMTS BRTS 15S Bus,,Pragatinagar BRTS,RTO Circle,5,7,everyday
15S,,AMTS BRTS 15S Bus,,Jaimangal BRTS,Iskcon Cross Road BRTS,12,18,everyday
15U,,AMTS BRTS 15U Bus,,Ahmedabad Domestic Airport,Iskcon Cross Road BRTS,21,43,everyday
16D,,AMTS BRTS 16D Bus,,Nehrunagar BRTS,Sanand Circle,12,20,everyday
15U,,AMTS BRTS 15U Bus,,RTO Circle,Iskcon Cross Road BRTS,18,28,everyday
16E,,AMTS BRTS 16E Bus,,Nehrunagar BRTS,Jaimangal BRTS,10,14,everyday
16E,,AMTS BRTS 16E Bus,,Sanand Circle,Jaimangal BRTS,15,21,everyday
16S,,AMTS BRTS 16S Bus,,Jaimangal BRTS,Nehrunagar BRTS,10,16,everyday
16U,,AMTS BRTS 16U Bus,,Sanand Circle,Nehrunagar BRTS,12,20,everyday
16S,,AMTS BRTS 16S Bus,,Jaimangal BRTS,Sanand Circle,16,31,everyday
17D,,AMTS BRTS 17D Bus,,Nehrunagar BRTS,South Bopal,18,25,everyday
17U,,AMTS BRTS 17U Bus,,South Bopal,Nehrunagar BRTS,18,24,everyday
17S,,AMTS BRTS 17S Bus,,Jaimangal BRTS,Nehrunagar BRTS,10,15,everyday
17S,,AMTS BRTS 17S Bus,,Jaimangal BRTS,South Bopal,22,36,everyday
17E,,AMTS BRTS 17E Bus,,Nehrunagar BRTS,Jaimangal BRTS,10,13,everyday
18E,,AMTS BRTS 18E Bus,,Maninagar BRTS,Jaimangal BRTS,23,35,everyday
18E,,AMTS BRTS 18E Bus,,Ahmedabad Domestic Airport,Shastrinagar BRTS,10,15,everyday
18S,,AMTS BRTS 18S Bus,,Jaimangal BRTS,Maninagar BRTS,23,41,everyday
18D,,AMTS BRTS 18D Bus,,Maninagar BRTS,Ahmedabad Domestic Airport,16,26,everyday
18S,,AMTS BRTS 18S Bus,,Pragatinagar BRTS,Ahmedabad Domestic Airport,9,16,everyday
101,R.T.O.Circle To R.T.O.Circle (Circular),AMTS BRTS 101 Bus,bus,RTO Circle,RTO Circle,44,69,everyday
18U,,AMTS BRTS 18U Bus,,Ahmedabad Domestic Airport,Maninagar BRTS,17,26,everyday
13/1,,AMTS 13/1 Bus,,Vadaj,Isanpur,50,38,everyday
1,"Sarangpur To Sarangpur Via Tilakbaug, Sardar Baug, Kalupur",AMTS 1 Bus,bus,Sarangpur Terminus,Sarangpur Terminus,34,26,everyday
13/1,,AMTS 13/1 Bus,,Ranip Gam,Isanpur,67,50,everyday
3,Bhadrakali Mandir To Bhadrakali Mandir (Circular),AMTS 3 Bus,bus,Bhadrakali Mandir,Bhadrakali Mandir,22,15,everyday
13/1,,AMTS 13/1 Bus,,Vadaj,Ranip Gam,18,13,everyday
201,R.T.O.Circle To R.T.O.Circle (Anti-Circular),AMTS BRTS 201 Bus,bus,RTO Circle,RTO Circle,42,67,everyday
13/1-SH,,AMTS 13/1-SH Bus,,Nigam Society,Lal Darwaja,41,33,everyday
14,,AMTS 14 Bus,,Lal Darwaja,Devdi Gam,43,50,everyday
14-SH,,AMTS 14-SH Bus,,Mahalaxmi Talav (Vatva),Lal Darwaja,32,35,everyday
14,,AMTS 14 Bus,,,,,,
14,,AMTS 14 Bus,,Vatva Gam,Lal Darwaja,31,28,everyday
14/1,,AMTS 14/1 Bus,,Vatva Railway Station,Lal Darwaja,45,43,everyday
15/1,,AMTS 15/1 Bus,,Vinobabhavenagar,Maninagar,32,29,everyday
15/3,,AMTS 15/3 Bus,,Nenpur Chokdi,Maninagar Terminal,48,64,everyday
16,,AMTS 16 Bus,,Vatva Railway Crossing,Someshwar Mahadev,99,91,everyday
17,,AMTS 17 Bus,,Meghaninagar,Mahalaxmi Talav (Vatva),67,58,everyday
17,,AMTS 17 Bus,,Sarangpur Terminus,Mahalaxmi Talav (Vatva),45,30,everyday
17,,AMTS 17 Bus,,Sarangpur Terminus,Meghaninagar,25,18,everyday
18,,AMTS 18 Bus,,Vatva Railway Station,Kalupur Terminus,42,36,everyday
18,,AMTS 18 Bus,,Vatva Railway Station,Maninagar,25,17,everyday
18,,AMTS 18 Bus,,Maninagar,Kalupur Terminus,18,16,everyday
18-SH,,AMTS 18-SH Bus,,Vatva Railway Station,Maninagar,25,21,everyday
22,,AMTS 22 Bus,,Tragad Gam,Lal Darwaja,63,53,everyday
22,,AMTS 22 Bus,,Tragad Gam,Indiranagar Vibhag 2,100,94,everyday
22,,AMTS 22 Bus,,Lal Darwaja,Indiranagar Vibhag 2,38,38,everyday
22/1,,AMTS 22/1 Bus,,Lal Darwaja,Bareja Eye Hospital,42,51,everyday
28,,AMTS 28 Bus,,Meghani Nagar,Sarangpur Terminus,22,17,everyday
28,,AMTS 28 Bus,,Meghaninagar,Lambha Gam,58,53,everyday
30,,AMTS 30 Bus,,Karnavati Chowk-4 (New Narol),Isanpur,28,16,everyday
28-SH,,AMTS 28-SH Bus,,Sarangpur Terminus,Indiranagar Vibhag 2,39,37,everyday
30/2,,AMTS 30/2 Bus,,Vatva Railway Crossing,Sarkhej Gam,40,48,everyday
30,,AMTS 30 Bus,,Maninagar Terminal,Karnavati Chowk-4 (New Narol),42,30,everyday
30/3,,AMTS 30/3 Bus,,Dev Residency,Vadaj,43,35,everyday
30/3,,AMTS 30/3 Bus,,Dev Residency,Dani Limda Gam,75,66,everyday
30/3,,AMTS 30/3 Bus,,Vadaj,Dani Limda Gam,32,25,everyday
31,,AMTS 31 Bus,,Sarkhej Gam,Meghaninagar,60,55,everyday
31/1,,AMTS 31/1 Bus,,Lal Darwaja,Aradhana Residency (Fatehwadi Canal),37,40,everyday
31-SH,,AMTS 31-SH Bus,,Sarkhej Gam,Lal Darwaja,42,33,everyday
31/4-SH,,AMTS 31/4-SH Bus,,Paldi,Bakrol Gam,36,40,everyday
31/4,,AMTS 31/4 Bus,,Paldi,Kashindra Gam,41,45,everyday
31/5,,AMTS 31/5 Bus,,Madhavnagar (Sanand),Lal Darwaja,72,80,everyday
31/5,,AMTS 31/5 Bus,,Motipura Chokdi (Sanand),Lal Darwaja,84,98,everyday
32,,AMTS 32 Bus,,Sahyadri Bungalow,But Bhavani Mata Mandir,53,46,everyday
32,,AMTS 32 Bus,,Vasna Terminus,But Bhavani Mata Mandir,9,10,everyday
33,,AMTS 33 Bus,,,,,,
33/1,,AMTS 33/1 Bus,,Vaishali Township,Meghaninagar,59,54,everyday
33/1-SH,,AMTS 33/1-SH Bus,,Vaishali Township,Lal Darwaja,30,26,everyday
34/3,,AMTS 34/3 Bus,,Lal Darwaja,Adani Vidyavihar,35,32,everyday
34/4,,AMTS 34/4 Bus,,Lal Darwaja,But Bhavani Mata Mandir,28,25,everyday
34/5,,AMTS 34/5 Bus,,Kalapinagar,But Bhavani Mata Mandir,46,41,everyday
34/5,,AMTS 34/5 Bus,,Lal Darwaja,But Bhavani Mata Mandir,22,20,everyday
34/5,,AMTS 34/5 Bus,,Lal Darwaja,Kalapinagar,24,16,everyday
35,,AMTS 35 Bus,,Lal Darwaja,Bavla,76,75,everyday
37-SH,,AMTS 37-SH Bus,,Vasna Terminus,Bapunagar,37,35,everyday
37/4,,AMTS 37/4 Bus,,Kalupur Terminus,But Bhavani Mata Mandir,33,30,everyday
37/4,,AMTS 37/4 Bus,,But Bhavani Mata Mandir,Sarangpur Terminus,26,22,everyday
38/1,,AMTS 38/1 Bus,,Lal Darwaja,Krushnanagar,39,33,everyday
38/1,,AMTS 38/1 Bus,,Vaishali Township,Krushnanagar,62,52,everyday
38/1,,AMTS 38/1 Bus,,Vaishali Township,Vasna Terminus,8,6,everyday
39/3,,AMTS 39/3 Bus,,But Bhavani Mata Mandir,Bhakti Circle,66,69,everyday
39/3,,AMTS 39/3 Bus,,But Bhavani Mata Mandir,Sarangpur Terminus,30,25,everyday
39/3,,AMTS 39/3 Bus,,Sarangpur Terminus,Bhakti Circle,38,30,everyday
