route_name,longName,agencyName,transitType,firstStop,lastStop,totalStops,totalDurationMinutes,operatingDays
127,,AMTS 127 Bus,,Sarangpur Terminus,Bhakti Circle,47,41,everyday
128,,AMTS 128 Bus,,Nigam Society,Naroda Industrial Township (Muthiya Gam),73,65,everyday
130-SH,,AMTS 130-SH Bus,,Naroda Industrial Township (Muthiya Gam),Lambha Gam,58,68,everyday
130/2,,AMTS 130/2 Bus,,Naroda Terminus,Khod Kamod,57,67,everyday
130/4,,AMTS 130/4 Bus,,Nava Vadaj,Manmohan Park,55,54,everyday
133,,AMTS 133 Bus,,Lal Darwaja,Anand Flats,37,25,everyday
135,,AMTS 135 Bus,,Pramukh Swaminagar,Bhakti Circle,25,21,everyday
135,,AMTS 135 Bus,,Sarangpur Terminus,Bhakti Circle,44,36,everyday
136,,AMTS 136 Bus,,,,,,
136,,AMTS 136 Bus,,,,,,
136,,AMTS 136 Bus,,,,,,
137,,AMTS 137 Bus,,Bapunagar,Manmohan Park,13,10,everyday
137,,AMTS 137 Bus,,Manmohan Park,Lapkaman Gam,69,70,everyday
137-SH,,AMTS 137-SH Bus,,Gujarat High Court,Bapunagar,48,51,everyday
137-SHC,,AMTS 137-SHC Bus,,Kalupur Terminus,Chandlodiya Talav,37,33,everyday
137/1,,AMTS 137/1 Bus,,Kalupur Terminus,Gujarat High Court,37,37,everyday
138,,AMTS 138 Bus,,Gujarat University,Bapunagar,43,38,everyday
138,,AMTS 138 Bus,,Lal Darwaja,Bapunagar,27,21,everyday
138/1,,AMTS 138/1 Bus,,Riddhi Siddhi Bungalows (Ashapura Motors),Lal Darwaja,69,78,everyday
142,,AMTS 142 Bus,,Vastral Gam,Gujarat University,49,48,everyday
142-SH,,AMTS 142-SH Bus,,Vastral Gam,Sarangpur Terminus,24,25,everyday
143,,AMTS 143 Bus,,Sarangpur Terminus,Pasunj Gam,35,44,everyday
143-SH,,AMTS 143-SH Bus,,Sarangpur Terminus,Kubadthal Gam,31,38,everyday
144,,AMTS 144 Bus,,Gujarat University,Arbudanagar,45,43,everyday
144/1,,AMTS 144/1 Bus,,Madhav Homes,Lal Darwaja,40,34,everyday
144/1-SH,,AMTS 144/1-SH Bus,,Sarangpur Terminus,Madhav Homes,31,28,everyday
146/1,,AMTS 146/1 Bus,,Ranip Gam,Chinubhainagar,60,62,everyday
146/6,,AMTS 146/6 Bus,,Sarangpur Terminus,Arbudanagar,17,17,everyday
147/2,,AMTS 147/2 Bus,,Swami Vivekanand Chowk (Vastral),Chandlodiya Railway Station (Wagheshwari Society),82,80,everyday
147/2,,AMTS 147/2 Bus,,Swami Vivekanand Chowk (Vastral),Sarangpur Terminus,48,49,everyday
148,,AMTS 148 Bus,,Sarangpur Terminus,Kathwada Gam,35,35,everyday
148,,AMTS 148 Bus,,Sarangpur Terminus,Naroda Terminus,51,55,everyday
148/1,,AMTS 148/1 Bus,,Sarangpur Terminus,Bakrol-Bujrang Gam,41,54,everyday
148/1,,AMTS 148/1 Bus,,Sarangpur Terminus,Kujad Gam,34,37,everyday
150,,AMTS 150 Bus,,Sarkhej Gam,Chinubhainagar,65,68,everyday
150-SH,,AMTS 150-SH Bus,,Sarangpur Terminus,Chinubhainagar,27,27,everyday
150-SH,,AMTS 150-SH Bus,,Sarkhej Gam,Sarangpur Terminus,40,33,everyday
151,,AMTS 151 Bus,,Vivekanandnagar,Iskcon Mandir,72,73,everyday
151-SH,,AMTS 151-SH Bus,,Vivekanandnagar,Lal Darwaja,67,61,everyday
151/2,,AMTS 151/2 Bus,,Nandej-Barejadi Gam,Maninagar Terminal,48,53,everyday
151/3,,AMTS 151/3 Bus,,Hatkeshwar,Godhavi Gam,77,77,everyday
151/4,,AMTS 151/4 Bus,,Hatkeshwar,Gujarat University,57,45,everyday
152,,AMTS 152 Bus,,Wanch Gam,Lal Darwaja,50,46,everyday
152-SH,,AMTS 152-SH Bus,,Khokhara Circle,Dhamatwan Gam,33,32,everyday
152-SH,,AMTS 152-SH Bus,,Lal Darwaja,Dhamatwan Gam,69,63,everyday
152/1,,AMTS 152/1 Bus,,Lal Darwaja,Gatrad Gam,61,52,everyday
160,,AMTS 160 Bus,,Silver Oak University,Hatkeshwar,67,69,everyday
160/1,,AMTS 160/1 Bus,,Maninagar Terminal,Adinathnagar,42,35,everyday
200,,AMTS 200 Bus,,Vadaj,Maninagar,56,54,everyday
200,,AMTS 200 Bus,,Maninagar Terminal,Maninagar,122,116,everyday
202,,AMTS 202 Bus,,Sattadhar Society,Vasna,24,31,everyday
202,,AMTS 202 Bus,,Vasna,Naroda Terminus,96,94,everyday
204,Vasna Terminus To Vasna Terminus (Circular),AMTS 204 Bus,bus,Vasna,Vasna,112,110,everyday
205,Vasna Terminus To Vasna Terminus (Circular),AMTS 205 Bus,bus,Vasna,Vasna,108,109,everyday
300,,AMTS 300 Bus,,Maninagar Terminal,Maninagar,122,115,everyday
400,Lal Darwaja To Lal Darwaja (Circular),AMTS 400 Bus,bus,Lal Darwaja,Lal Darwaja,59,54,everyday
401,,AMTS 401 Bus,,Vadaj,Chandkheda (Sarathi Bunglows),23,28,everyday
401,,AMTS 401 Bus,,Vasna Terminus,Vadaj,28,19,everyday
401,,AMTS 401 Bus,,Vasna Terminus,Chandkheda (Sarathi Bunglows),50,48,everyday
401-SH,,AMTS 401-SH Bus,,Vasna Terminus,Chandkheda Gam,48,46,everyday
500,Lal Darwaja To Lal Darwaja (Circular),AMTS 500 Bus,bus,Lal Darwaja,Lal Darwaja,58,54,everyday
501,,AMTS 501 Bus,,Ujala Circle (Sarkhej),Paldi,28,22,everyday
501,,AMTS 501 Bus,,,,,,
501,,AMTS 501 Bus,,Vaishnavdevi Circle,Gota Cross Road,9,11,everyday
501,,AMTS 501 Bus,,Vaishnavdevi Circle,Ujala Circle (Sarkhej),43,52,everyday
503,,AMTS 503 Bus,,Kalol Institute Technology College,Vadaj,69,94,everyday
503,,AMTS 503 Bus,,Lal Darwaja,Kalol Institute Technology College,82,108,everyday
800,Nava Vadaj To Nava Vadaj (Circular),AMTS 800 Bus,bus,Nava Vadaj,Nava Vadaj,93,93,everyday
900,Nava Vadaj To Nava Vadaj (Circular),AMTS 900 Bus,bus,Nava Vadaj,Nava Vadaj,89,92,everyday
FEEDER-2,,AMTS FEEDER-2 Bus,,Motera Gam,Chandkheda Gam,17,13,everyday
FEEDER-2,,AMTS FEEDER-2 Bus,,Kalupur Terminus,Chandkheda Gam,29,30,everyday
FEEDER-4,,AMTS FEEDER-4 Bus,,Isanpur,Chosar Gam,18,26,everyday
FEEDER-5,,AMTS FEEDER-5 Bus,,Shardaben Hospital,Rasraj Jackpot (Ring Road),30,26,everyday
FEEDER-7,,AMTS FEEDER-7 Bus,,Lal Darwaja,Kalupur Terminus,15,8,everyday
RING,Laldarwaja To Laldarwaja Via Bala Hanuman,AMTS RING Bus,bus,Lal Darwaja,Lal Darwaja,20,14,everyday
SP1,,AMTS SP1 Bus,,,,,,
SP1,,AMTS SP1 Bus,,Nana Chiloda (Municipal Octroi),Memco,29,18,everyday
SP1,,AMTS SP1 Bus,,Ranasan Circle,Aslali Circle,47,64,everyday
SP1,,AMTS SP1 Bus,,Ranasan Circle,Nana Chiloda (Municipal Octroi),3,2,everyday
SP1SH,,AMTS SP1SH Bus,,Chandkheda Gam,Vadaj,22,22,everyday
SP1SH,,AMTS SP1SH Bus,,Zundal Circle,Ranasan Circle,11,22,everyday
SP1SH,,AMTS SP1SH Bus,,Zundal Circle,Chandkheda Gam,6,5,everyday
1,,VTCOS Bus 1 Bus,,Sector-3 / 4,Pathika Ashram,8,10,everyday
2,,VTCOS Bus 2 Bus,,Rajashree Cinema,Pathika Ashram,11,14,everyday
3,,VTCOS Bus 3 Bus,,Pethapur,Pathika Ashram,14,20,everyday
4,,VTCOS Bus 4 Bus,,,,,,
5,,VTCOS Bus 5 Bus,,Unava,Pathika Ashram,28,41,everyday
6,,VTCOS Bus 6 Bus,,Pathika Ashram,Chiloda,20,31,everyday
7,,VTCOS Bus 7 Bus,,Pathika Ashram,Kolvada,18,22,everyday
8,,VTCOS Bus 8 Bus,,Pathika Ashram,Chandkheda Gam,23,36,everyday
9,,VTCOS Bus 9 Bus,,Pathika Ashram,Balva,31,47,everyday
GSRTC,,GSRTC bus,bus,G.E.B.Colony,Ahmedabad Gita Mandir Bus Stand,22,50,everyday
GSRTC,,GSRTC bus,bus,G.E.B.Colony,Ahmedabad Gita Mandir Bus Stand,26,53,everyday
GSRTC,,GSRTC bus,bus,G.E.B.Colony,Ahmedabad Gita Mandir Bus Stand,27,58,everyday
GSRTC,,GSRTC bus,bus,Gandhinagar Gsrtc Bus Station,Ahmedabad Krushnanagar Bus Stand,8,21,everyday
BUS-1,,GIFT Metro Feeder Bus BUS-1 Bus,metro,,,,,
BUS-1A,,GIFT Metro Feeder Bus BUS-1A Bus,metro,,,,,
BUS-2,,GIFT Metro Feeder Bus BUS-2 Bus,metro,,,,,
BUS-3,,GIFT Metro Feeder Bus BUS-3 Bus,metro,,,,,
LINE 1,,GMRCL LINE 1 Metro,,,,,,
LINE 2,,GMRCL LINE 2 Metro,,,,,,
LINE 3,,GMRCL LINE 3 Metro,,,,,,
LINE 4,,GMRCL LINE 4 Metro,,,,,,
LINE 5,,GMRCL LINE 5 Metro,,,,,,
